Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-05-18,67.4,68.13,67.14,67.71,25201274.0,0.0,1.0,65.56811736754163,66.27827650223458,65.31518397710305,65.86969179460301,25201274.0
2017-05-19,67.5,68.095,67.43,67.69,26961119.0,0.0,1.0,65.66539944078724,66.24422777659862,65.59730198951532,65.8502353799539,26961119.0
2017-05-22,67.89,68.5,67.5,68.45,16237550.0,0.0,1.0,66.04479952644512,66.63822017324334,65.66539944078724,66.58957913662054,16237550.0
2017-05-23,68.72,68.75,68.38,68.68,15425824.0,0.0,1.0,66.85224073438368,66.88142535635737,66.5214816853486,66.81332790508544,15425824.0
2017-05-24,68.87,68.88,68.45,68.77,14666865.0,0.0,1.0,66.9981638442521,67.00789205157666,66.58957913662054,66.9008817710065,14666865.0
2017-05-25,68.97,69.88,68.91,69.62,21854095.0,0.0,1.0,67.09544591749771,67.98071278403278,67.03707667355035,67.72777939359419,21854095.0
2017-05-26,69.8,70.22,69.52,69.96,19827923.0,0.0,1.0,67.90288712543628,68.31147183306784,67.63049732034857,68.05853844262926,19827923.0
2017-05-30,69.79,70.41,69.77,70.41,17072838.0,0.0,1.0,67.89315891811172,68.4963077722345,67.8737025034626,68.4963077722345,17072838.0
2017-05-31,70.53,70.74,69.81,69.84,30436364.0,0.0,1.0,68.61304626012924,68.81733861394503,67.91261533276085,67.94179995473453,30436364.0
2017-06-01,70.24,70.61,69.451,70.1,21603601.0,0.0,1.0,68.33092824771697,68.69087191872573,67.5633726898091,68.1947333451731,21603601.0
2017-06-02,70.44,71.86,70.24,71.76,34770261.0,0.0,1.0,68.52549239420819,69.90689783429586,68.33092824771697,69.80961576105025,34770261.0
2017-06-05,71.97,72.89,71.81,72.28,33316760.0,0.0,1.0,70.01390811486604,70.90890318872566,69.85825679767306,70.31548254192744,33316760.0
2017-06-06,72.3,72.62,72.27,72.52,31511065.0,0.0,1.0,70.33493895657655,70.64624159096252,70.30575433460287,70.5489595177169,31511065.0
2017-06-07,72.635,72.77,71.95,72.39,22301765.0,0.0,1.0,70.66083390194936,70.79216470083092,69.99445170021691,70.4224928224976,22301765.0
2017-06-08,72.51,72.52,71.5,71.95,24588270.0,0.0,1.0,70.53923131039234,70.5489595177169,69.55668237061167,69.99445170021691,24588270.0
2017-06-09,72.035,72.08,68.59,70.32,49187396.0,0.0,1.0,70.07714146247568,70.1209183954362,66.72577403916439,68.40875390631345,49187396.0
2017-06-12,69.25,69.94,68.13,69.78,47761743.0,0.0,1.0,67.36783572258543,68.03908202798014,66.27827650223458,67.88343071078717,47761743.0
2017-06-13,70.02,70.82,69.96,70.65,25258614.0,0.0,1.0,68.11690768657662,68.8951642725415,68.05853844262926,68.72978474802399,25258614.0
2017-06-14,70.91,71.1,69.43,70.27,25510685.0,0.0,1.0,68.98271813846256,69.16755407762922,67.54294345442753,68.36011286969065,25510685.0
2017-06-15,69.27,70.21,68.8,69.9,26068709.0,0.0,1.0,67.38729213723454,68.30174362574328,66.93006639298018,68.0001691986819,26068709.0
2017-06-16,69.73,70.0252,69.22,70.0,48345085.0,0.0,1.0,67.83478967416436,68.12196635438539,67.33865110061174,68.09745127192751,48345085.0
2017-06-19,70.5,70.945,70.35,70.87,23798268.0,0.0,1.0,68.58386163815555,69.01676686409851,68.43793852828713,68.94380530916432,23798268.0
2017-06-20,70.82,70.87,69.87,69.91,21512231.0,0.0,1.0,68.8951642725415,68.94380530916432,67.97098457670822,68.00989740600646,21512231.0
2017-06-21,70.21,70.62,69.94,70.27,19891051.0,0.0,1.0,68.30174362574328,68.70060012605029,68.03908202798014,68.36011286969065,19891051.0
2017-06-22,70.54,70.59,69.71,70.26,22965738.0,0.0,1.0,68.62277446745381,68.6714155040766,67.81533325951523,68.3503846623661,22965738.0
2017-06-23,70.09,71.25,69.92,71.21,27617291.0,0.0,1.0,68.18500513784856,69.31347718749764,68.01962561333102,69.27456435819938,27617291.0
2017-06-26,71.4,71.71,70.445,70.53,19606974.0,0.0,1.0,69.45940029736606,69.76097472442744,68.53035649787047,68.61304626012924,19606974.0
2017-06-27,70.11,70.18,69.18,69.21,25215128.0,0.0,1.0,68.20446155249768,68.27255900376962,67.2997382713135,67.32892289328717,25215128.0
2017-06-28,69.21,69.841,68.79,69.8,25806200.0,0.0,1.0,67.32892289328717,67.94277277546698,66.92033818565562,67.90288712543628,25806200.0
2017-06-29,69.38,69.49,68.09,68.49,28918715.0,0.0,1.0,67.49430241780472,67.60131269837488,66.23936367293635,66.62849196591878,28918715.0
2017-06-30,68.78,69.38,68.74,68.93,24161068.0,0.0,1.0,66.91060997833105,67.49430241780472,66.87169714903281,67.05653308819947,24161068.0
2017-07-03,69.330002,69.599998,68.019997,68.169998,16165500.0,0.0,1.0,67.44566332682338,67.70832103330359,66.17126330320222,66.31718738589137,16165500.0
2017-07-05,68.255,69.44,68.22,69.08,21176272.0,0.0,1.0,66.3998790937916,67.55267166175209,66.36583036815563,67.20245619806789,21176272.0
2017-07-06,68.27,68.78,68.12,68.57,21117572.0,0.0,1.0,66.41447140477844,66.91060997833105,66.26854829491003,66.70631762451526,21117572.0
2017-07-07,68.7,69.84,68.7,69.46,16878317.0,0.0,1.0,66.83278431973457,67.94179995473453,66.83278431973457,67.5721280764012,16878317.0
2017-07-10,69.46,70.25,69.2,69.98,15014503.0,0.0,1.0,67.5721280764012,68.34065645504154,67.31919468596263,68.07799485727838,15014503.0
2017-07-11,70.0,70.68,69.75,69.99,17460022.0,0.0,1.0,68.09745127192751,68.75896936999767,67.85424608881348,68.08772306460294,17460022.0
2017-07-12,70.69,71.28,70.55,71.15,17750925.0,0.0,1.0,68.76869757732221,69.34266180947132,68.63250267477837,69.21619511425203,17750925.0
2017-07-13,71.5,72.0399,71.31,71.77,20269816.0,0.0,1.0,69.55668237061167,70.08190828406472,69.37184643144501,69.81934396837481,20269816.0
2017-07-14,72.24,73.27,71.96,72.78,25868086.0,0.0,1.0,70.27656971262918,71.27857506705897,70.00417990754147,70.80189290815548,25868086.0
2017-07-17,72.8,73.45,72.72,73.35,21803907.0,0.0,1.0,70.82134932280461,71.45368279890108,70.74352366420811,71.35640072565546,21803907.0
2017-07-18,73.09,73.39,72.66,73.3,26435296.0,0.0,1.0,71.10346733521688,71.39531355495372,70.68515442026074,71.30775968903265,26435296.0
2017-07-19,73.5,74.04,73.45,73.86,22416222.0,0.0,1.0,71.50232383552388,72.02764703105018,71.45368279890108,71.85253929920808,22416222.0
2017-07-20,74.18,74.3,73.28,74.22,42361025.0,0.0,1.0,72.16384193359404,72.28058042148876,71.28830327438354,72.20275476289228,42361025.0
2017-07-21,73.45,74.29,73.17,73.79,46717082.0,0.0,1.0,71.45368279890108,72.27085221416421,71.18129299381337,71.78444184793617,46717082.0
2017-07-24,73.53,73.75,73.13,73.6,21394826.0,0.0,1.0,71.53150845749757,71.74552901863791,71.14238016451512,71.59960590876949,21394826.0
2017-07-25,73.8,74.31,73.5,74.19,22018681.0,0.0,1.0,71.79417005526071,72.29030862881334,71.50232383552388,72.1735701409186,22018681.0
2017-07-26,74.34,74.38,73.81,74.05,16252233.0,0.0,1.0,72.31949325078702,72.35840608008525,71.80389826258528,72.03737523837474,16252233.0
2017-07-27,73.76,74.42,72.32,73.16,36844220.0,0.0,1.0,71.75525722596248,72.3973189093835,70.35439537122566,71.1715647864888,36844220.0
2017-07-28,72.67,73.31,72.54,73.04,18306680.0,0.0,1.0,70.69488262758532,71.31748789635722,70.56841593236602,71.05482629859408,18306680.0
2017-07-31,73.3,73.44,72.41,72.7,23600054.0,0.0,1.0,71.30775968903265,71.44395459157651,70.44194923714672,70.724067249559,23600054.0
2017-08-01,73.1,73.42,72.49,72.58,20823890.0,0.0,1.0,71.11319554254143,71.4244981769274,70.51977489574321,70.60732876166426,20823890.0
2017-08-02,72.55,72.56,71.445,72.26,26499158.0,0.0,1.0,70.57814413969058,70.58787234701514,69.50317723032657,70.29602612727831,26499158.0
2017-08-03,72.19,72.44,71.845,72.15,18214424.0,0.0,1.0,70.22792867600639,70.4711338591204,69.89230552330902,70.18901584670814,18214424.0
2017-08-04,72.4,73.04,72.24,72.68,22578952.0,0.0,1.0,70.43222102982217,71.05482629859408,70.27656971262918,70.70461083490989,22578952.0
2017-08-07,72.8,72.9,72.26,72.4,18705681.0,0.0,1.0,70.82134932280461,70.91863139605022,70.29602612727831,70.43222102982217,18705681.0
2017-08-08,72.09,73.13,71.75,72.79,22044587.0,0.0,1.0,70.13064660276078,71.14238016451512,69.7998875537257,70.81162111548005,22044587.0
2017-08-09,72.25,72.51,72.05,72.47,22213410.0,0.0,1.0,70.28629791995375,70.53923131039234,70.09173377346252,70.50031848109408,22213410.0
2017-08-10,71.9,72.19,71.35,71.41,24734461.0,0.0,1.0,69.94581066359412,70.22792867600639,69.41075926074325,69.46912850469062,24734461.0
2017-08-11,71.61,72.7,71.28,72.5,21443675.0,0.0,1.0,69.66369265118183,70.724067249559,69.34266180947132,70.52950310306777,21443675.0
2017-08-14,73.06,73.72,72.95,73.59,20096592.0,0.0,1.0,71.07428271324319,71.71634439666423,70.96727243267303,71.58987770144493,20096592.0
2017-08-15,73.59,73.59,73.04,73.22,19181402.0,0.39,1.0,71.97119499594866,71.97119499594866,71.43329368805668,71.60933411609405,19181402.0
2017-08-16,73.34,74.1,73.17,73.65,18150402.0,0.0,1.0,71.7266944014523,72.46997620872123,71.56043399719478,72.0298751386278,18150402.0
2017-08-17,73.58,73.87,72.4,72.4,22977519.0,0.0,1.0,71.96141497216881,72.2450356617846,70.807372166146,70.807372166146,22977519.0
2017-08-18,72.27,72.84,71.93,72.49,18761491.0,0.0,1.0,70.68023185700788,71.23769321245959,70.34771104849284,70.89539238016468,18761491.0
2017-08-21,72.47,72.48,71.7,72.15,17734767.0,0.0,1.0,70.87583233260497,70.88561235638483,70.12277050155619,70.56287157164964,17734767.0
2017-08-22,72.35,73.24,72.35,73.16,14343674.0,0.0,1.0,70.75847204724671,71.62889416365375,70.75847204724671,71.55065397341492,14343674.0
2017-08-23,72.96,73.15,72.53,72.72,13766507.0,0.0,1.0,71.35505349781783,71.54087394963508,70.9345124752841,71.12033292710133,13766507.0
2017-08-24,72.74,72.86,72.07,72.69,17098282.0,0.0,1.0,71.13989297466104,71.2572532600193,70.4846313814108,71.09099285576177,17098282.0
2017-08-25,72.86,73.35,72.48,72.82,12794301.0,0.0,1.0,71.2572532600193,71.73647442523216,70.88561235638483,71.21813316489987,12794301.0
2017-08-28,73.06,73.09,72.55,72.83,14569715.0,0.0,1.0,71.45285373561639,71.48219380695595,70.9540725228438,71.22791318867974,14569715.0
2017-08-29,72.25,73.16,72.05,73.05,11478382.0,0.0,1.0,70.66067180944817,71.55065397341492,70.46507133385109,71.44307371183653,11478382.0
2017-08-30,73.01,74.2099,72.8293,74.01,16897801.0,0.0,1.0,71.40395361671712,72.57745867006184,71.22722858701515,72.38195599470255,16897801.0
2017-08-31,74.03,74.96,73.8,74.77,27652811.0,0.0,1.0,72.40151604226226,73.31105825378872,72.17657549532561,73.12523780197148,27652811.0
2017-09-01,74.71,74.74,73.64,73.94,21736161.0,0.0,1.0,73.06655765929236,73.09589773063192,72.02009511484793,72.31349582824357,21736161.0
2017-09-05,73.34,73.89,72.98,73.61,22242384.0,0.0,1.0,71.7266944014523,72.2645957093443,71.37461354537756,71.99075504350837,22242384.0
2017-09-06,73.74,74.04,73.35,73.4,16535785.0,0.0,1.0,72.11789535264649,72.41129606604213,71.73647442523216,71.78537454413144,16535785.0
2017-09-07,73.68,74.6,73.6,74.34,17471200.0,0.0,1.0,72.05921520996736,72.95897739771395,71.98097501972852,72.70469677943775,17471200.0
2017-09-08,74.33,74.44,73.84,73.98,14703816.0,0.0,1.0,72.69491675565789,72.80249701723629,72.21569559044504,72.35261592336299,14703816.0
2017-09-11,74.31,74.945,74.31,74.76,17910383.0,0.0,1.0,72.67535670809819,73.29638821811893,72.67535670809819,73.11545777819164,17910383.0
2017-09-12,74.76,75.24,74.37,74.68,14394850.0,0.0,1.0,73.11545777819164,73.58489891962464,72.73403685077731,73.03721758795281,14394850.0
2017-09-13,74.93,75.23,74.55,75.21,13380802.0,0.0,1.0,73.28171818244917,73.5751188958448,72.91007727881468,73.55555884828507,13380802.0
2017-09-14,75.0,75.49,74.52,74.77,15733914.0,0.0,1.0,73.35017834890814,73.82939951412101,72.88073720747512,73.12523780197148,15733914.0
2017-09-15,74.83,75.39,74.07,75.31,38578441.0,0.0,1.0,73.18391794465062,73.73159927632247,72.44063613738167,73.65335908608363,38578441.0
2017-09-18,75.23,75.97,75.04,75.16,23306959.0,0.0,1.0,73.5751188958448,74.29884065555402,73.38929844402756,73.5066587293858,23306959.0
2017-09-19,75.21,75.71,75.01,75.44,16093344.0,0.0,1.0,73.55555884828507,74.0445600372778,73.359958372688,73.78049939522174,16093344.0
2017-09-20,75.35,75.55,74.31,74.94,21587878.0,0.0,1.0,73.69247918120304,73.88807965680013,72.67535670809819,73.29149820622901,21587878.0
2017-09-21,75.11,75.24,74.11,74.21,19186140.0,0.0,1.0,73.45775861048654,73.58489891962464,72.4797562325011,72.57755647029964,19186140.0
2017-09-22,73.99,74.51,73.85,74.41,14111365.0,0.0,1.0,72.36239594714284,72.87095718369528,72.22547561422488,72.77315694589673,14111365.0
